code,keyword,commentaire,ensemblid,ligne_es,digest_neo5,digest_neo3
E145,Yipf5,HEPD0534_4_D04,ENSMUSG00000024487,JM8A_N3,"BspH I, Nsi I","Apa I, Spe I"
E146,Fcho1,HEPD0534_8_B03,ENSMUSG00000070000,JM8A_N3,"BstE II, Pme I/Sac II","ApaL I, Spe I"
E147,Ywhag,HEPD0534_7_G07,ENSMUSG00000051391,JM8A_N3,"Swa I/Xho I","Apa I, SexAI"
E148,Cep135,HEPD0539_6_B12,ENSMUSG00000036403,JM8A_N3,"Bst Api, Nsi I","Avr II, Bgl II"
E149,Otub1,HEPD0539_8_A05,ENSMUSG00000024767,JM8A_N3,"Bpl I, Sbf I","Apa I, Bgl II"
E150,Fgl1,HEPD0540_3_F06,ENSMUSG00000031594,JM8A_N3,"Afl II, Pac I","Avr II, Spe I"
E152,Egln2,"EPD0289_2_B10; ",ENSMUSG00000030877,JM8A_N3,"Ase I, Sca I","EcoRI, Ssp I"
E153,Creld1,EPD0289_2_E02,ENSMUSG00000030284,JM8A_N3,"Afl II, Nsi I","PshAI, Ssp I"
E154,Bloc1s1,HEPD0550_3_B11,ENSMUSG00000025349,JM8A_N3,"Afl II, Nsi I","Bgl II, Nhe I"
E155,Areg,HEPD542_2_C08,ENSMUSG00000029378,JM8A_N3,"Nsi I, PshAI","Afl III, Sca I"
E156,Zfand5,HEPD0543_3_F07,ENSMUSG00000024750,JM8A_N3,"Eco NI","Afl II, Bgl II"
E151,Myo7b,HEPD0543_6_A04,ENSMUSG00000024388,JM8A_N3,"Swa I/Xho I","Apa I, Drd I"
E157,Ntf5,HEPD0550_2_E02,"ENSMUSG00000074121   ",JM8A_N3,"Sca I, Age I","Bgl II, Xho I"
E158,Hspa14,HEPD0527_8_A02,ENSMUSG00000051396,JM8N4,"PshAI, Sca I","Bgl I, Nhe I"
E159,Plscr1,HEPD0500_3_D07,"ENSMUSG00000032369 ",JM8N4,"Apa BI, Pac I/Xho I","Nhe I, SexAI"
E159,Plscr1,HEPD0500_3_D07,"ENSMUSG00000032369 ",JM8N4,"Apa BI, Pac I/Xho I","Nhe I, SexAI"
E160,Nfasc,HEPD0529_1_B03,"ENSMUSG00000026442   ",JM8N4,"Afl II, Apa BI","EcoRI, Nde I"
E161,Cyp1a1,HEPD0547_4_B07,"ENSMUSG00000032315   ",JM8N4,"Apa BI","Bgl I, Drd I, Eco NI"
E162,Pacs2,HEPD0529_7_C09,"ENSMUSG00000021143   ",JM8N4,"BstE II","Bgl II, Nhe I"
E163,Ppp1r1a,HEPD0529_4_A04,"ENSMUSG00000022490 ",JM8N4,"Afl II, Nsi I","Drd I, Ssp I"
E164,Ceacam1,HEPD0547_1_B03,"ENSMUSG00000074272 ",JM8N4,"Nsi I, Sca I","Avr II, EcoRI"
E165,Cdc25a,HEPD0547_2_A12,"ENSMUSG00000032477   ",JM8N4,"Spe I","BstE II, Hind III"
E166,Ralgds,EPD0227_2_E10,"ENSMUSG00000026821   ",JM8N4,"Ase I, PshAI","Spe I, Ssp I"
E167,Ptk6,"EPD0227_2_A08 ",ENSMUSG00000038751,JM8N4,"Nsi I, Spe I","Apa I, Bgl I"
E168,Cyb5r4,"HEPD0547_9_B04   ","ENSMUSG00000032872   ",JM8N4,"Spe I","Apa I, PshAI, Avr II"
E169,Otop3,EPD0197_3_A09,ENSMUSG00000018862,JM8N4,"Ase I, BspH I","Ssp I, Xho I"
E169,Otop3,EPD0197_3_D09,ENSMUSG00000018862,JM8N4,"Ase I, BspH I","Ssp I, Xho I"
E170,Ptch1,HEPD0529_8_H03,ENSMUSG00000021466,JM8N4,"Afl II, Xma I","Bgl II, Nhe I"
E180,Gmfg,HEPD0535_6_B06,ENSMUSG00000060791,JM8N4,"Sca I, Spe I","BspH I, ApaL I"
E179,Patl2,HEPD0535_1_C03,ENSMUSG00000027233,JM8N4,"BspH I, BstE II","Bgl I, Drd I"
E178,Gm711,HEPD0535_4_A04,ENSMUSG00000049897,JM8N4,"Afl II, Spe I","Ssp I, Xho I"
E177,Tmem63c,EPD0120_3_A03,ENSMUSG00000034145,JM8N4,"Ase I, Pac I","Blp I, Drd I"
E177,Tmem63c,EPD0120_3_A03,ENSMUSG00000034145,JM8N4,"Ase I, Pac I","Blp I, Drd I"
E176,Tgif2,EPD0113_4_A05,ENSMUSG00000062175,JM8N4,"Afl II, Apa I, Ase I, Hind III","Ssp I, Nde I"
E176,Tgif2,EPD0113_4_A05,ENSMUSG00000062175,JM8N4,"Afl II, Apa I, Ase I, Hind III","Ssp I, Nde I"
E175,Tmem135,EPD0227_4_C10,ENSMUSG00000039428,JM8N4,"Age I/Pac I","Eco NI, Xho I"
E174,Tmc8,EPD0227_3_A12,ENSMUSG00000050106,JM8N4,"Afl II, Sca I","Bgl II, Xho I"
E173,Nr1i2,EPD0141_1_D01,ENSMUSG00000022809,JM8N4,"Ase I, PshAI","Spe I, Ssp I"
E172,Spns1,EPD0227_1_A03,ENSMUSG00000030741,JM8N4,"Ase I","EcoRI, Nhe I"
E171,Slc25a38,EPD0227_7_D02,ENSMUSG00000032519,JM8N4,"Ase I, Spe I","Ssp I, Nhe I"
E181,Hs1bp3,HEPD0530_8_D05,ENSMUSG00000020605,JM8N4,"Sbf I, BspH I","Nhe I, Spe I"
E182,Klhl29,HEPD0530_1_C09,ENSMUSG00000020627,JM8N4,"BspH I, Nsi I","Spe I, Avr II"
E183,Pdia6,HEPD0530_2_G04,ENSMUSG00000020571,JM8N4,"BstE II, PshAI","Bgl I, Spe I"
E184,Laptm4a,HEPD0530_3_A12,ENSMUSG00000020585,JM8N4,"Sac II/Pac I, Sac II/Sbf I","Apa I, Bgl I"
E185,Tmod3,HEPD0547_3_H08,"ENSMUSG00000058587  ",JM8N4,"PshAI, Ase I","Bgl I, Eco NI"
E186,Pcsk7,HEPD0548_1_G02,"ENSMUSG00000035382 ",JM8N4,"PshAI, Sca I","Nhe I, Ssp I"
E187,Nab2,HEPD0548_8_A07,"ENSMUSG00000025402 ",JM8N4,"Nsi I, Sbf I","BstE II, Drd I"
E188,Scamp2,HEPD0547_2_A01,"ENSMUSG00000040188  ",JM8N4,"Ase I, BstE II","EcoRI, Nsi I"
E189,"Ascc3 ",HEPD0547_1_C09,"ENSMUSG00000038774 ",JM8N4,,"Eco NI, Nhe I"
E190,"Mat2a ",HEPD0547_3_D11,"ENSMUSG00000053907  ",JM8N4,"Nsi I, Sca I","Afl II, Nhe I"
E191,"Hcn4 ",HEPD0547_4_B11,ENSMUSG00000032338,JM8N4,"Sbf I, Sca I","Bgl II, Nhe I"
E192,"Bmp10 ",HEPD0547_6_C05,"ENSMUSG00000030046 ",JM8N4,"Afl II","Eco NI, Spe I"
E193,"Gltp ",HEPD0537_2_C10,ENSMUSG00000011884,JM8N4,"Ase I, Bpl I","PshAI, Ssp I"
E194,"Csrnp3 ",HEPD0537_2_E04,"ENSMUSG00000044647  ",JM8N4,"Afl II, Hind III","EcoRI, Blp I"
E205,Nol8,HEPD0531_3_B10,ENSMUSG00000021392,JM8N4,,"Afl III, Stu I"
E204,Ppap2a,HEPD0531_4_G04,ENSMUSG00000021759,JM8N4,"Afl II, BspH I","Drd I, Eco NI"
E203,Rnf144b,HEPD0531_1_C04,ENSMUSG00000038068,JM8N4,"Nsi I, Pac I","Bgl I, Ssp I"
E202,Baiap2l2,HEPD0531_4_B12,ENSMUSG00000018126,JM8N4,"Spe I, Ssp I","Bgl I, Hind III"
E201,Iah1,HEPD0531_2_E06,ENSMUSG00000062054,JM8N4,"Afl II, Xho I","SexAI, Ssp I"
E200,Brs3,EPD0293_5_B01,ENSMUSG00000031130,JM8A_N3,PshAI,"Eco NI, Hind III"
E200,Brs3,EPD0293_5_C04,ENSMUSG00000031130,JM8A_N3,PshAI,"Eco NI, Hind III"
E199,Slc1a7,HEPD0537_5_G04,ENSMUSG00000008932,JM8N4,"Hind III","Nhe I, Ssp I"
E198,Magoh,EPD0159_2_H12,ENSMUSG00000028609,JM8N4,"Nsi I, PshAI/Spe I","Nhe I, SexAI"
E198,Magoh,EPD0159_2_E12,ENSMUSG00000028609,JM8N4,"Nsi I, PshAI/Spe I","Nhe I, SexAI"
E197,Pcsk4,EPD0285_1_E05,ENSMUSG00000020131,JM8A_N3,"Sca I","Afl III, Nhe I"
E197,Pcsk4,EPD0285_1_F04,ENSMUSG00000020131,JM8A_N3,"Sca I","Afl III, Nhe I"
E196,Pex16,HEPD0537_2_B03,ENSMUSG00000027222,JM8N4,"Eco NI, Sbf I","Hind III, SexAI"
E195,Acsl1,EPD0144_2_B10,ENSMUSG00000018796,JM8N4,"Ase I","PshAI, SexAI"
E195,Acsl1,EPD0144_2_C09,ENSMUSG00000018796,JM8N4,"Ase I","PshAI, SexAI"
E207,Csnk2a1,EPD0327_4_A01,ENSMUSG00000074698,JM8A_N3,"Mfe I, Xho I","Eco NI, Nde I"
E208,Csnk1a1,EPD0270_3_D04,"ENSMUSG00000024576 ",JM8A_N3,"Nsi I, Eco NI, Sac II","Avr II, Xho I"
E208,Csnk1a1,EPD0270_3_E02,"ENSMUSG00000024576 ",JM8A_N3,"Nsi I, Eco NI, Sac II","Avr II, Xho I"
E209,Mosc2,"HEPD0546_2_F03 ","ENSMUSG00000073481 ",JM8N4,"Ase I, Sbf I/BspH I","Afl III, Eco NI"
E210,Rc3h1,HEPD0546_1_F01,ENSMUSG00000040423ENSMUSG73520,JM8N4,"BspH I, Pac I","Drd I, Eco NI"
E211,Prdm10,HEPD0535_2_A08,ENSMUSG00000042496,JM8N4,"BspH I, Pac I","Ssp I, Stu I"
E211,Prdm10,HEPD0535_2_D07,ENSMUSG00000042496,JM8N4,"BspH I, Pac I","Ssp I, Stu I"
E212,Rfx4,EPD0230_2_C01,ENSMUSG00000020037,JM8N4,"BspH I, Spe I","Eco NI, Nhe I"
E212,Rfx4,EPD0230_2_C02,ENSMUSG00000020037,JM8N4,"BspH I, Spe I","Eco NI, Nhe I"
E212,Rfx4,EPD0230_2_B04,ENSMUSG00000020037,JM8N4,"BspH I, Spe I","Eco NI, Nhe I"
E213,Raf1,EPD0065_4_B09,ENSMUSG00000000441,JM8F6,"Ase I, Spe I","Bgl II, Drd I"
E213,Raf1,EPD0065_4_B07,ENSMUSG00000000441,JM8F6,"Ase I, Spe I","Bgl II, Drd I"
E213,Raf1,EPD0065_4_C08,ENSMUSG00000000441,JM8F6,"Ase I, Spe I","Bgl II, Drd I"
E214,Kctd15,EPD0177_1_F12,ENSMUSG00000030499,JM8N4,"Ase I, Sca I, Pac I/Sbf I","Drd I, EcoRI,XhoI/NheI"
E214,Kctd15,EPD0177_1_E09,ENSMUSG00000030499,JM8N4,"Ase I, Sca I, Pac I/Sbf I","Drd I, EcoRI,XhoI/NheI"
